7zip 26.01-1
alsa-tools 1.2.15-3
alsa-utils 1.2.16-1
android-studio 2025.3.1.8-1
android-tools 35.0.2-26
anydesk-bin 8.0.2-1
anyrun 26.6.1-1
app2unit 1.4.0-1
appimagelauncher 3.0.0_beta_3-1
aria2 1.37.0-3
audacity 1:3.7.7-2
awww 0.12.1-1
base 3-3
base-devel 1-2
bicon-git 0.5.r6.g48720c0-1
blueman 2.4.6-2
bluetui 0.8.1-2
bluez 5.86-6
bluez-utils 5.86-6
brightnessctl 0.5.1-3
btop 1.4.7-1
btrfs-assistant 2.2-5
btrfs-progs 7.0-1
bun 1.3.14-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
caffeinate 1.0.0-2
calf 0.90.9-2
chromium 149.0.7827.53-1
cinnamon-desktop 6.6.2-2
claude-desktop-bin 1.12603.1-1
cliphist 1:0.7.0-2
clipse 1.2.1-1
code 1.122.1-1
cosmic-session 1:1.0.15-1
cups 2:2.4.19-1
cups-pdf 3.0.3-1
ddcutil 2.2.7-1
debtap 3.6.3-1
docker 1:29.5.2-1
docker-buildx 0.34.1-1
docker-compose 5.1.4-1
dolphin 26.04.2-1
dragon-drop 1.2.0-2
droidcam 1:2.1.5-1
easyeffects 8.2.4-1
echo-music-desktop-bin 1.0-1
efibootmgr 18-4
egl-wayland 4:1.1.21-1
emptty 0.16.1-1
expressvpn 5.0.1.11498-2
fabric-cli-git 0.0.2-1
fastfetch 2.64.2-2
fd 10.4.2-2
filelight 26.04.2-1
firefox 151.0.3-1
firejail 0.9.80-1
flameshot 13.3.0-2
floorp-bin 12.14.2-1
freedownloadmanager 6.34.1.6907-1
fuzzel 1.14.1-1
fzf 0.72.0-1
gamemode 1.8.2-2
gamescope 3.16.24-1
gdu 5.36.1-1
ghostmirror 0.18.5-1
ghostty 1.3.1-2
git 2.54.0-1
github-cli 2.93.0-1
gnome-bluetooth-3.0 47.2-1
gnome-terminal 3.60.0-1
grub 2:2.14-1
grub-btrfs 4.14-1
grub-customizer5-git 5.2.4.r800.805e8d3-1
gvfs 1.60.0-2
gvfs-mtp 1.60.0-2
helix 25.07.1-1
heroic-games-launcher-bin 2.22.0-1
hplip 1:3.26.4-1
hyprland-meta-git 0.0.1-6
i3-wm 4.25.1-1
i3status 2.15-1
inetutils 2.8-1
inotify-tools 4.25.9.0-1
iventoy-bin 1.0.34-1
jq 1.8.1-3
karing-bin 1.2.19.2209-1
kdeconnect 26.04.2-1
kdenlive 26.04.2-1
kew 4.0.0-1
kitty 0.47.1-1
kodi 21.3-5
konsole 26.04.2-1
lazygit 0.62.2-1
lib32-gamemode 1.8.2-1
lib32-nvidia-580xx-utils 580.159.04-1
lib32-sqlite 3.53.2-1
libreoffice-fresh 26.2.4-1
libreoffice-fresh-fa 26.2.4-1
libvirt 1:12.4.0-1
linux 7.0.11.arch1-1
linux-cachyos-headers 7.0.12-1
linux-firmware 20260519-1
linux-headers 7.0.11.arch1-1
localsend-bin 1.17.0-1
lsp-plugins 1.2.29-1
luarocks 3.13.0-5
lutris 0.5.22-1
lxqt-policykit 2.4.0-1
ly 1.4.1-1
man-db 2.13.1-1
mangowm 0.14.2-1
matugen 4.1.0-1
mc 4.8.33-1
meld 3.22.3-2
ncdu 2.9.2-1
neovim 0.12.2-1
network-manager-applet 1.36.0-2
networkmanager 1.56.1-1
niri 26.04-1
niri-float-sticky 0.0.8-1
niri-scratchpad-rs-git 2.1.r2.gc78d735-1
nmap 7.99-2
noctalia-shell 4.7.7-3
nodejs 26.2.0-1
ntfs-3g 2026.2.25-1
ntfsprogs 2026.2.25-1
nushell 0.113.1-1
nvidia-580xx-dkms 580.159.04-1
nvidia-settings 610.43.02-1
obs-studio 32.1.2-5
obsidian 1.12.7-2
oh-my-posh 29.14.0-1
os-prober 1.84-1
paru 2.1.0-2
pavucontrol 1:6.2-1
picom 13-2
pipewire 1:1.6.6-1
pipewire-alsa 1:1.6.6-1
pipewire-enable-bluez5 1.0-1
pipewire-jack 1:1.6.6-1
pipewire-pulse 1:1.6.6-1
planify 4.19.4-1
platformio-core 6.1.19-4
postgresql 18.4-1
postman-bin 12.13.6-1
pyprland 3.4.2-0
python-pip 26.1.2-1
python-virtualenv 21.4.2-1
qbittorrent 5.2.2-1
qemu-full 11.0.1-1
qimgv 1.0.3+alpha+94+ge2675f13-1
ranger 1.9.4-5
reflector 2023-5
ripgrep 15.1.0-3
rofi 2.0.0-1
rustup 1.29.0-2
sahel-fonts 3.4.0-2
samba 2:4.24.3-1
samim-fonts 4.0.4-2
sddm 0.21.0-7
snap-pac 3.0.1-3
snapper 0.13.1-2
sniffnet 1.5.0-1
speedtest-cli 2.1.3-10
spotiflac-bin 7.1.7-1
stasis 1.3.0-1
steam 1.0.0.85-7
stow 2.4.1-1
sudo 1.9.17.p2-2
sway 1:1.12-1
sway-scratch 0.2.1-2
swaybg 1.2.2-1
swayidle 1.9.0-1
swaylock 1.8.5-1
telegram-desktop 6.8.2-4
tesseract 5.5.2-1
tesseract-data-fas 2:4.1.0-5
throne 1.1.4-1
throne-debug 1.0.13-1
thunar 4.20.8-3
tide-island 1.0.11-1
timeshift 25.12.4-1
tmux 3.6_b-2
torbrowser-launcher 0.3.7-4
trickle 1.07-14
ttf-hack-nerd 3.4.0-2
ttf-iosevka-nerd 3.4.0-2
ttf-jetbrains-mono-nerd 3.4.0-2
unified-remote-server 3.14.0.2574-1
uv 0.11.19-1
uwsm 0.26.4-1
v2rayn 7.22.4-1
vazirmatn-fonts 33.003-2
virt-manager 5.1.0-3
virtualbox 7.2.8-2
vlc 3.0.23_2-6
vlc-plugin-ffmpeg 3.0.23_2-6
vlc-plugin-freetype 3.0.23_2-6
vlc-plugin-srt 3.0.23_2-6
waybar 0.15.0-2
waydroid 1.6.3-1
webkit2gtk 2.50.5-1
wf-recorder 0.6.0-1
windscribe 2.22.10-1
wine 11.10-1
wireguard-tools 1.0.20260223-1
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
wlsunset 0.4.0-1
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-gnome 50.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-wlr 0.8.2-1
xorg-xhost 1.0.10-1
xorg-xset 1.2.5-2
xwayland-satellite 0.8.1-2
yay 12.5.7-1
yay-debug 12.5.7-1
yazi 26.5.6-3
zed 1.5.4-1
zen-browser-bin 1.20.1b-1
zoxide 0.9.9-2
zsh 5.9.1-1
